DATE,TICKER,RET,vwretd
1/30/09,MSFT,-0.12037,-0.077471
2/27/09,MSFT,-0.047953,-0.100166
3/31/09,MSFT,0.137461,0.086803
4/30/09,MSFT,0.102885,0.109466
5/29/09,MSFT,0.037512,0.067787
6/30/09,MSFT,0.137865,-0.003019
7/31/09,MSFT,-0.010517,0.081779
8/31/09,MSFT,0.053571,0.03151
9/30/09,MSFT,0.043408,0.045281
10/30/09,MSFT,0.078149,-0.028072
11/30/09,MSFT,0.065272,0.057075
12/31/09,MSFT,0.036382,0.028475
1/29/10,MSFT,-0.075459,-0.037172
2/26/10,MSFT,0.022001,0.034744
3/31/10,MSFT,0.021538,0.063668
4/30/10,MSFT,0.042595,0.020036
5/28/10,MSFT,-0.150811,-0.07924
6/30/10,MSFT,-0.10814,-0.05078
7/30/10,MSFT,0.121686,0.07036
8/31/10,MSFT,-0.085819,-0.042863
9/30/10,MSFT,0.043682,0.091628
10/29/10,MSFT,0.088812,0.038591
11/30/10,MSFT,-0.046784,0.005117
12/31/10,MSFT,0.105018,0.067182
1/31/11,MSFT,-0.006628,0.019183
2/28/11,MSFT,-0.035528,0.038156
3/31/11,MSFT,-0.044771,0.003341
4/29/11,MSFT,0.020874,0.028597
5/31/11,MSFT,-0.028935,-0.014948
6/30/11,MSFT,0.039584,-0.018447
7/29/11,MSFT,0.053846,-0.022534
8/31/11,MSFT,-0.023358,-0.057564
9/30/11,MSFT,-0.064286,-0.084983
10/31/11,MSFT,0.069908,0.114146
11/30/11,MSFT,-0.031919,-0.00627
12/30/11,MSFT,0.014855,0.003676
1/31/12,MSFT,0.137519,0.054106
2/29/12,MSFT,0.081612,0.041225
3/30/12,MSFT,0.016226,0.02402
4/30/12,MSFT,-0.007441,-0.006829
5/31/12,MSFT,-0.081993,-0.06559
6/29/12,MSFT,0.047962,0.038151
7/31/12,MSFT,-0.036613,0.010307
8/31/12,MSFT,0.052596,0.026317
9/28/12,MSFT,-0.034393,0.026513
10/31/12,MSFT,-0.040995,-0.014055
11/30/12,MSFT,-0.05939,0.006217
12/31/12,MSFT,0.003558,0.012569
1/31/13,MSFT,0.027717,0.054142
2/28/13,MSFT,0.021129,0.008282
3/28/13,MSFT,0.028957,0.035295
4/30/13,MSFT,0.15714,0.014939
5/31/13,MSFT,0.061329,0.019128
6/28/13,MSFT,-0.010172,-0.015072
7/31/13,MSFT,-0.078304,0.052658
8/30/13,MSFT,0.056219,-0.02575
9/30/13,MSFT,-0.003593,0.037497
10/31/13,MSFT,0.063852,0.039889
11/29/13,MSFT,0.084875,0.024956
12/31/13,MSFT,-0.018883,0.02614
1/31/14,MSFT,0.011494,-0.03002
2/28/14,MSFT,0.01982,0.046198
3/31/14,MSFT,0.069956,0.00454
4/30/14,MSFT,-0.014394,0.001573
5/30/14,MSFT,0.020297,0.020254
6/30/14,MSFT,0.018564,0.027973
7/31/14,MSFT,0.035012,-0.020555
8/29/14,MSFT,0.059082,0.040205
9/30/14,MSFT,0.020471,-0.025196
10/31/14,MSFT,0.012726,0.021164
11/28/14,MSFT,0.02492,0.021104
12/31/14,MSFT,-0.028446,-0.003659
1/30/15,MSFT,-0.130248,-0.027163
2/27/15,MSFT,0.093069,0.055915
3/31/15,MSFT,-0.072862,-0.010397
4/30/15,MSFT,0.196409,0.008766
5/29/15,MSFT,-0.030222,0.010277
6/30/15,MSFT,-0.057832,-0.019231
7/31/15,MSFT,0.057758,0.012108
8/31/15,MSFT,-0.061456,-0.059926
9/30/15,MSFT,0.017004,-0.033756
10/30/15,MSFT,0.189336,0.073937
11/30/15,MSFT,0.039324,0.002404
12/31/15,MSFT,0.020791,-0.022209
1/29/16,MSFT,-0.00703,-0.057085
2/29/16,MSFT,-0.069886,0.00062
3/31/16,MSFT,0.085495,0.070491
4/29/16,MSFT,-0.097049,0.011718
5/31/16,MSFT,0.069982,0.01434
6/30/16,MSFT,-0.034528,0.002947
7/29/16,MSFT,0.10768,0.038815
8/31/16,MSFT,0.020113,0.0028
9/30/16,MSFT,0.002436,0.003013
10/31/16,MSFT,0.040278,-0.021544
11/30/16,MSFT,0.012183,0.040488
12/30/16,MSFT,0.031198,0.018763
1/31/17,MSFT,0.040393,0.022153
2/28/17,MSFT,-0.004331,0.032598
3/31/17,MSFT,0.029384,0.002062
4/28/17,MSFT,0.039478,0.009655
5/31/17,MSFT,0.025854,0.009335
6/30/17,MSFT,-0.01303,0.009571
7/31/17,MSFT,0.054693,0.020277
8/31/17,MSFT,0.033838,0.0016
9/29/17,MSFT,-0.003745,0.023729
10/31/17,MSFT,0.11666,0.019275
11/30/17,MSFT,0.016951,0.027231
12/29/17,MSFT,0.016277,0.012122
1/31/18,MSFT,0.110708,0.050577
2/28/18,MSFT,-0.008631,-0.039455
3/29/18,MSFT,-0.026661,-0.018421
4/30/18,MSFT,0.024652,0.004679
5/31/18,MSFT,0.061377,0.026146
6/29/18,MSFT,-0.002327,0.005359
7/31/18,MSFT,0.075753,0.031573
8/31/18,MSFT,0.062877,0.030233
9/28/18,MSFT,0.018161,0.000425
10/31/18,MSFT,-0.066101,-0.074045
11/30/18,MSFT,0.042505,0.018512
12/31/18,MSFT,-0.084047,-0.08989
1/31/19,MSFT,0.028158,0.088294
2/28/19,MSFT,0.077181,0.032724
3/29/19,MSFT,0.052754,0.012962
4/30/19,MSFT,0.107343,0.037893
5/31/19,MSFT,-0.049464,-0.061679
6/28/19,MSFT,0.083118,0.067279
7/31/19,MSFT,0.017244,0.011854
8/30/19,MSFT,0.015044,-0.020339
9/30/19,MSFT,0.008487,0.016033
10/31/19,MSFT,0.031216,0.019257
11/29/19,MSFT,0.059427,0.034999
12/31/19,MSFT,0.041749,0.028489
1/31/20,MSFT,0.079455,-0.001728
1/30/09,CVX,-0.046641,-0.077471
2/27/09,CVX,-0.129892,-0.100166
3/31/09,CVX,0.107561,0.086803
4/30/09,CVX,-0.016954,0.109466
5/29/09,CVX,0.018457,0.067787
6/30/09,CVX,-0.0063,-0.003019
7/31/09,CVX,0.048604,0.081779
8/31/09,CVX,0.016554,0.03151
9/30/09,CVX,0.007006,0.045281
10/30/09,CVX,0.086753,-0.028072
11/30/09,CVX,0.028482,0.057075
12/31/09,CVX,-0.013455,0.028475
1/29/10,CVX,-0.063255,-0.037172
2/26/10,CVX,0.011925,0.034744
3/31/10,CVX,0.048824,0.063668
4/30/10,CVX,0.073981,0.020036
5/28/10,CVX,-0.084111,-0.07924
6/30/10,CVX,-0.081359,-0.05078
7/30/10,CVX,0.123047,0.07036
8/31/10,CVX,-0.018501,-0.042863
9/30/10,CVX,0.094087,0.091628
10/29/10,CVX,0.019124,0.038591
11/30/10,CVX,-0.011017,0.005117
12/31/10,CVX,0.126961,0.067182
1/31/11,CVX,0.040329,0.019183
2/28/11,CVX,0.100495,0.038156
3/31/11,CVX,0.036048,0.003341
4/29/11,CVX,0.018141,0.028597
5/31/11,CVX,-0.034265,-0.014948
6/30/11,CVX,-0.019731,-0.018447
7/29/11,CVX,0.011474,-0.022534
8/31/11,CVX,-0.0423,-0.057564
9/30/11,CVX,-0.063234,-0.084983
10/31/11,CVX,0.134572,0.114146
11/30/11,CVX,-0.013517,-0.00627
12/30/11,CVX,0.034818,0.003676
1/31/12,CVX,-0.030827,0.054106
2/29/12,CVX,0.06604,0.041225
3/30/12,CVX,-0.017504,0.02402
4/30/12,CVX,-0.006063,-0.006829
5/31/12,CVX,-0.068975,-0.06559
6/29/12,CVX,0.073136,0.038151
7/31/12,CVX,0.038673,0.010307
8/31/12,CVX,0.031758,0.026317
9/28/12,CVX,0.03923,0.026513
10/31/12,CVX,-0.054215,-0.014055
11/30/12,CVX,-0.033116,0.006217
12/31/12,CVX,0.023181,0.012569
1/31/13,CVX,0.064823,0.054142
2/28/13,CVX,0.025185,0.008282
3/28/13,CVX,0.014255,0.035295
4/30/13,CVX,0.026847,0.014939
5/31/13,CVX,0.014261,0.019128
6/28/13,CVX,-0.035927,-0.015072
7/31/13,CVX,0.063799,0.052658
8/30/13,CVX,-0.035428,-0.02575
9/30/13,CVX,0.008885,0.037497
10/31/13,CVX,-0.012675,0.039889
11/29/13,CVX,0.02901,0.024956
12/31/13,CVX,0.020173,0.02614
1/31/14,CVX,-0.106317,-0.03002
2/28/14,CVX,0.042103,0.046198
3/31/14,CVX,0.031041,0.00454
4/30/14,CVX,0.055588,0.001573
5/30/14,CVX,-0.013225,0.020254
6/30/14,CVX,0.063197,0.027973
7/31/14,CVX,-0.010034,-0.020555
8/29/14,CVX,0.009904,0.040205
9/30/14,CVX,-0.078254,-0.025196
10/31/14,CVX,0.00528,0.021164
11/28/14,CVX,-0.083451,0.021104
12/31/14,CVX,0.030403,-0.003659
1/30/15,CVX,-0.086022,-0.027163
2/27/15,CVX,0.050912,0.055915
3/31/15,CVX,-0.015935,-0.010397
4/30/15,CVX,0.057916,0.008766
5/29/15,CVX,-0.062939,0.010277
6/30/15,CVX,-0.063398,-0.019231
7/31/15,CVX,-0.082824,0.012108
8/31/15,CVX,-0.072559,-0.059926
9/30/15,CVX,-0.026053,-0.033756
10/30/15,CVX,0.15213,0.073937
11/30/15,CVX,0.016615,0.002404
12/31/15,CVX,-0.014893,-0.022209
1/29/16,CVX,-0.038795,-0.057085
2/29/16,CVX,-0.022667,0.00062
3/31/16,CVX,0.143337,0.070491
4/29/16,CVX,0.071069,0.011718
5/31/16,CVX,-0.001077,0.01434
6/30/16,CVX,0.037921,0.002947
7/29/16,CVX,-0.022417,0.038815
8/31/16,CVX,-0.008099,0.0028
9/30/16,CVX,0.023265,0.003013
10/31/16,CVX,0.017781,-0.021544
11/30/16,CVX,0.075322,0.040488
12/30/16,CVX,0.055038,0.018763
1/31/17,CVX,-0.053951,0.022153
2/28/17,CVX,0.020027,0.032598
3/31/17,CVX,-0.0456,0.002062
4/28/17,CVX,-0.00624,0.009655
5/31/17,CVX,-0.020056,0.009335
6/30/17,CVX,0.008214,0.009571
7/31/17,CVX,0.046583,0.020277
8/31/17,CVX,-0.004488,0.0016
9/29/17,CVX,0.091804,0.023729
10/31/17,CVX,-0.013702,0.019275
11/30/17,CVX,0.036069,0.027231
12/29/17,CVX,0.052105,0.012122
1/31/18,CVX,0.001278,0.050577
2/28/18,CVX,-0.098205,-0.039455
3/29/18,CVX,0.018942,-0.018421
4/30/18,CVX,0.097071,0.004679
5/31/18,CVX,0.002478,0.026146
6/29/18,CVX,0.017136,0.005359
7/31/18,CVX,-0.001266,0.031573
8/31/18,CVX,-0.052982,0.030233
9/28/18,CVX,0.032247,0.000425
10/31/18,CVX,-0.086932,-0.074045
11/30/18,CVX,0.075325,0.018512
12/31/18,CVX,-0.085337,-0.08989
1/31/19,CVX,0.053865,0.088294
2/28/19,CVX,0.05338,0.032724
3/29/19,CVX,0.030105,0.012962
4/30/19,CVX,-0.025329,0.037893
5/31/19,CVX,-0.041812,-0.061679
6/28/19,CVX,0.093017,0.067279
7/31/19,CVX,-0.010688,0.011854
8/30/19,CVX,-0.034116,-0.020339
9/30/19,CVX,0.007475,0.016033
10/31/19,CVX,-0.020742,0.019257
11/29/19,CVX,0.01877,0.034999
12/31/19,CVX,0.028857,0.028489
1/31/20,CVX,-0.110945,-0.001728
1/30/09,BRK,-0.073478,-0.077471
2/27/09,BRK,-0.121807,-0.100166
3/31/09,BRK,0.103053,0.086803
4/30/09,BRK,0.084198,0.109466
5/29/09,BRK,-0.025532,0.067787
6/30/09,BRK,-0.017467,-0.003019
7/31/09,BRK,0.077778,0.081779
8/31/09,BRK,0.039691,0.03151
9/30/09,BRK,0.001487,0.045281
10/30/09,BRK,-0.019802,-0.028072
11/30/09,BRK,0.016162,0.057075
12/31/09,BRK,-0.013917,0.028475
1/29/10,BRK,0.155242,-0.037172
2/26/10,BRK,0.045375,0.034744
3/31/10,BRK,0.016694,0.063668
4/30/10,BRK,-0.053161,0.020036
5/28/10,BRK,-0.081639,-0.07924
6/30/10,BRK,0.133037,-0.05078
7/30/10,BRK,-0.025,0.07036
8/31/10,BRK,0.014316,-0.042863
9/30/10,BRK,0.049084,0.091628
10/29/10,BRK,-0.041767,0.038591
11/30/10,BRK,0.007544,0.005117
12/31/10,BRK,0.00208,0.067182
1/31/11,BRK,0.016397,0.019183
2/28/11,BRK,0.072493,0.038156
3/31/11,BRK,-0.045697,0.003341
4/29/11,BRK,-0.004389,0.028597
5/31/11,BRK,-0.047896,-0.014948
6/30/11,BRK,-0.022479,-0.018447
7/29/11,BRK,-0.039662,-0.022534
8/31/11,BRK,-0.015525,-0.057564
9/30/11,BRK,-0.027048,-0.084983
10/31/11,BRK,0.095037,0.114146
11/30/11,BRK,0.013254,-0.00627
12/30/11,BRK,-0.031603,0.003676
1/31/12,BRK,0.027624,0.054106
2/29/12,BRK,0.000076,0.041225
3/30/12,BRK,0.033629,0.02402
4/30/12,BRK,-0.009024,-0.006829
5/31/12,BRK,-0.016142,-0.06559
6/29/12,BRK,0.051283,0.038151
7/31/12,BRK,0.020009,0.010307
8/31/12,BRK,-0.006945,0.026317
9/28/12,BRK,0.048515,0.026513
10/31/12,BRK,-0.024077,-0.014055
11/30/12,BRK,0.018617,0.006217
12/31/12,BRK,0.016253,0.012569
1/31/13,BRK,0.088132,0.054142
2/28/13,BRK,0.046101,0.008282
3/28/13,BRK,0.024115,0.035295
4/30/13,BRK,0.017405,0.014939
5/31/13,BRK,0.077358,0.019128
6/28/13,BRK,-0.015762,-0.015072
7/31/13,BRK,0.031435,0.052658
8/30/13,BRK,-0.03939,-0.02575
9/30/13,BRK,0.020114,0.037497
10/31/13,BRK,0.015168,0.039889
11/29/13,BRK,0.010146,0.024956
12/31/13,BRK,0.018026,0.02614
1/31/14,BRK,-0.047151,-0.03002
2/28/14,BRK,0.024754,0.046198
3/31/14,BRK,0.078535,0.00454
4/30/14,BRK,0.031625,0.001573
5/30/14,BRK,-0.006597,0.020254
6/30/14,BRK,-0.010935,0.027973
7/31/14,BRK,-0.009355,-0.020555
8/29/14,BRK,0.094385,0.040205
9/30/14,BRK,0.004954,-0.025196
10/31/14,BRK,0.014983,0.021164
11/28/14,BRK,0.062214,0.021104
12/31/14,BRK,0.013158,-0.003659
1/30/15,BRK,-0.044845,-0.027163
2/27/15,BRK,0.024622,0.055915
3/31/15,BRK,-0.016638,-0.010397
4/30/15,BRK,-0.018851,0.008766
5/29/15,BRK,0.00656,0.010277
6/30/15,BRK,-0.046322,-0.019231
7/31/15,BRK,0.044667,0.012108
8/31/15,BRK,-0.053593,-0.059926
9/30/15,BRK,-0.035999,-0.033756
10/30/15,BRK,0.047921,0.073937
11/30/15,BRK,-0.015817,0.002404
12/31/15,BRK,-0.01768,-0.022209
1/29/16,BRK,-0.017391,-0.057085
2/29/16,BRK,0.042164,0.00062
3/31/16,BRK,0.053788,0.070491
4/29/16,BRK,0.026001,0.011718
5/31/16,BRK,-0.033356,0.01434
6/30/16,BRK,0.024942,0.002947
7/29/16,BRK,-0.004494,0.038815
8/31/16,BRK,0.045185,0.0028
9/30/16,BRK,-0.042257,0.003013
10/31/16,BRK,-0.002405,-0.021544
11/30/16,BRK,0.098748,0.040488
12/30/16,BRK,0.030046,0.018763
1/31/17,BRK,0.007617,0.022153
2/28/17,BRK,0.045205,0.032598
3/31/17,BRK,-0.028199,0.002062
4/28/17,BRK,-0.008285,0.009655
5/31/17,BRK,0.002664,0.009335
6/30/17,BRK,0.025197,0.009571
7/31/17,BRK,0.031747,0.020277
8/31/17,BRK,0.03297,0.0016
9/29/17,BRK,0.01212,0.023729
10/31/17,BRK,0.020856,0.019275
11/30/17,BRK,0.039327,0.027231
12/29/17,BRK,0.020926,0.012122
1/31/18,BRK,0.08661,0.050577
2/28/18,BRK,-0.040588,-0.039455
3/29/18,BRK,-0.035939,-0.018421
4/30/18,BRK,-0.028251,0.004679
5/31/18,BRK,-0.01187,0.026146
6/29/18,BRK,-0.017967,0.005359
7/31/18,BRK,0.069175,0.031573
8/31/18,BRK,0.047256,0.030233
9/28/18,BRK,0.0133,0.000425
10/31/18,BRK,-0.038422,-0.074045
11/30/18,BRK,0.059456,0.018512
12/31/18,BRK,-0.06135,-0.08989
1/31/19,BRK,0.017974,0.088294
2/28/19,BRK,-0.029856,0.032724
3/29/19,BRK,-0.003259,0.012962
4/30/19,BRK,0.079229,0.037893
5/31/19,BRK,-0.086194,-0.061679
6/28/19,BRK,0.071669,0.067279
7/31/19,BRK,-0.030419,0.011854
8/30/19,BRK,-0.018104,-0.020339
9/30/19,BRK,0.028884,0.016033
10/31/19,BRK,0.022791,0.019257
11/29/19,BRK,0.036233,0.034999
12/31/19,BRK,0.027519,0.028489
1/31/20,BRK,-0.010583,-0.001728
1/30/09,PG,-0.111938,-0.077471
2/27/09,PG,-0.116147,-0.100166
3/31/09,PG,-0.022421,0.086803
4/30/09,PG,0.059248,0.109466
5/29/09,PG,0.050566,0.067787
6/30/09,PG,-0.016173,-0.003019
7/31/09,PG,0.094912,0.081779
8/31/09,PG,-0.025221,0.03151
9/30/09,PG,0.070412,0.045281
10/30/09,PG,0.008978,-0.028072
11/30/09,PG,0.075,0.057075
12/31/09,PG,-0.027586,0.028475
1/29/10,PG,0.022431,-0.037172
2/26/10,PG,0.028107,0.034744
3/31/10,PG,-0.000158,0.063668
4/30/10,PG,-0.009929,0.020036
5/28/10,PG,-0.017214,-0.07924
6/30/10,PG,-0.01817,-0.05078
7/30/10,PG,0.027706,0.07036
8/31/10,PG,-0.024362,-0.042863
9/30/10,PG,0.005028,0.091628
10/29/10,PG,0.068064,0.038591
11/30/10,PG,-0.039327,0.005117
12/31/10,PG,0.053381,0.067182
1/31/11,PG,-0.011164,0.019183
2/28/11,PG,-0.001267,0.038156
3/31/11,PG,-0.022998,0.003341
4/29/11,PG,0.062094,0.028597
5/31/11,PG,0.032357,-0.014948
6/30/11,PG,-0.051194,-0.018447
7/29/11,PG,-0.024461,-0.022534
8/31/11,PG,0.035616,-0.057564
9/30/11,PG,-0.007852,-0.084983
10/31/11,PG,0.02113,0.114146
11/30/11,PG,0.009064,-0.00627
12/30/11,PG,0.033142,0.003676
1/31/12,PG,-0.047144,0.054106
2/29/12,PG,0.072652,0.041225
3/30/12,PG,-0.006063,0.02402
4/30/12,PG,-0.044755,-0.006829
5/31/12,PG,-0.021213,-0.06559
6/29/12,PG,-0.016696,0.038151
7/31/12,PG,0.06289,0.010307
8/31/12,PG,0.04106,0.026317
9/28/12,PG,0.032296,0.026513
10/31/12,PG,0.006373,-0.014055
11/30/12,PG,0.008521,0.006217
12/31/12,PG,-0.027782,0.012569
1/31/13,PG,0.115363,0.054142
2/28/13,PG,0.013571,0.008282
3/28/13,PG,0.011552,0.035295
4/30/13,PG,0.004042,0.014939
5/31/13,PG,-0.00013,0.019128
6/28/13,PG,0.002996,-0.015072
7/31/13,PG,0.050805,0.052658
8/30/13,PG,-0.030012,-0.02575
9/30/13,PG,-0.029529,0.037497
10/31/13,PG,0.07622,0.039889
11/29/13,PG,0.042972,0.024956
12/31/13,PG,-0.033365,0.02614
1/31/14,PG,-0.051449,-0.03002
2/28/14,PG,0.026625,0.046198
3/31/14,PG,0.024663,0.00454
4/30/14,PG,0.032179,0.001573
5/30/14,PG,-0.02132,0.020254
6/30/14,PG,-0.027231,0.027973
7/31/14,PG,-0.00797,-0.020555
8/29/14,PG,0.074884,0.040205
9/30/14,PG,0.00758,-0.025196
10/31/14,PG,0.04984,0.021164
11/28/14,PG,0.03621,0.021104
12/31/14,PG,0.007298,-0.003659
1/30/15,PG,-0.067586,-0.027163
2/27/15,PG,0.009966,0.055915
3/31/15,PG,-0.037472,-0.010397
4/30/15,PG,-0.021566,0.008766
5/29/15,PG,-0.014086,0.010277
6/30/15,PG,-0.001914,-0.019231
7/31/15,PG,-0.01121,0.012108
8/31/15,PG,-0.078618,-0.059926
9/30/15,PG,0.017971,-0.033756
10/30/15,PG,0.070933,0.073937
11/30/15,PG,-0.020162,0.002404
12/31/15,PG,0.061064,-0.022209
